"","Country","Year","A","B","B1G","C10to12","C13to15","C16to18","C19","C20_21","C22_23","C24_25","C26","C27","C28","C29_30","C31to33","D_E","F","G","H","I","J58to60","J61","J62_63","K","L68","M_N","O84","P85","Q","R_S","T_U","Nuclear","Hydro","Wind","Solar","Other","Coal","Gas","Oil","Bio_Rest","Bio_Gas"
"1","BE",2010,0.000685400449879098,0.0374169006796968,0.475861403804527,0.00130677466699852,0.000289345030973155,0.00257726036583593,0.00628260197553276,0.0304048012089581,0.00430805080425798,0.00880661869136181,0.00600456006579011,0.0262649586956436,0.00348232805331325,0.00113269172752071,0.0138249070671501,0.087858343335728,0.0481005811217203,0.0449012772750078,0.0279883872327379,0.00199596761150102,0.00318145681319056,0.00984375442690089,0.00374772831431125,0.0141573080664948,0.00420327384495672,0.127757766378316,0.00240607756930542,0.00160132508274889,0.000109461805600741,0.00349868783404163,0,0.491141948054343,0.0170871176654982,0.0131226605092944,0.0000409763013561107,0.0225836901117128,0.0582785446037284,0.369111847773951,0.00149677323009127,0.0242306528685801,0.00290578888144486
"2","BG",2010,0.000445547884576359,0.288079215768173,0.336055688137872,0.00182609897355112,0.00130230578770361,0.00141207437581781,0.0248687772820678,0.00230176285537932,0.00832805834284896,0.0155862951384618,0.00314275911508505,0.0229154593294715,0.00844598921059216,0.00380024481209729,0.0101125015445003,0.0109799548485208,0.0188171505819565,0.100509466977809,0.065623883843443,0.00194121526211191,0.00146245534318305,0.00489370882446567,0.00852170139059914,0.0421581742838092,0.00426662058262352,0.0102847537904641,0.00118718949914282,0.0000768380116799407,0.0000689571899691775,0.000585151012024164,0,0.249244536335013,0.0914805123851405,0.0109429525617918,0.000241034197396295,0,0.460511903072115,0.157515155248341,0.0297668306591928,0.000297075541010183,0
"3","CZ",2010,0.00239703749520113,0.16044241617967,0.38434254095039,0.00140527022991938,0.000806410762274453,0.00134161850019196,0.0165841749136203,0.00414409418589771,0.00281687230729855,0.00675221548010067,0.00292671319796954,0.0119656587254191,0.0118610832657936,0.00224540641129548,0.00781230004692232,0.18884261826558,0.0137337771402977,0.0630652006995692,0.0581348243612166,0.00272929285927569,0.000616188734376999,0.00428572761591946,0.00336621006270529,0.016282778974534,0.00867089856247067,0.0183119694578339,0.0020095950816875,0.00147065488632001,0.000183157019152839,0.000453293627095508,0,0.249570225286239,0.0237635523599875,0.00295500743897395,0.00543368532062076,0.00367195202988919,0.612414265580191,0.0839682760594412,0.00456482492438513,0.0130123238021684,0.000645887198104091
"4","DK",2010,0.00875749782170112,0.250904391581724,0.479358290040636,0.000727770244876558,0.000228193900961125,0.00645427391460326,0.0103162453143835,0.00115371569341679,0.00261111242422979,0.00335558883864526,0.00104889994823562,0.00113948451195772,0.005338425538808,0.000980961525444053,0.00697426891017736,0.0823283747359652,0.0382355958478115,0.012395482800256,0.00911315360877393,0.000692625414142849,0.00082008730025454,0.000812538586611032,0.00286875868334099,0.0339861650641325,0.00112649082453857,0.0323114643799097,0.00239479846605189,0.000153078012738021,0.0000408373033173379,0.00337142876235622,0,0,0.000291984838444715,0.108576647781656,0.000552299363724792,0.0322789547879298,0.376644992660432,0.268662356362278,0.0245143672827553,0.181345880120618,0.00713251680216132
"5","DE",2010,0.000126665839253506,0.0766346600829002,0.402079644661665,0.000649995367817049,0.00018409111110511,0.00201378136072987,0.0145204551680426,0.00301863922316472,0.0086548434257582,0.0113161837082662,0.00306162194741198,0.0173590102064192,0.0050300134926272,0.00172458549007732,0.0108298925627103,0.17955191673155,0.0231493049435901,0.0323126684156631,0.0445559491965188,0.000441055442591871,0.00138955214364393,0.00194779917297041,0.00470895301745329,0.0210522587733486,0.0144803125179431,0.0555695219035325,0.0600403490141435,0.000278099767005307,0.0000923721273860879,0.00322578116863224,0.0000000220160786651516,0.194356563888219,0.0373002099581996,0.0533016197686273,0.0162420117208161,0.039482374027961,0.415743507915933,0.19386076416611,0.00764686952869758,0.0175537991479527,0.0245122798774835
"6","EE",2010,0.000968525320474976,0.135579184524018,0.398650287366409,0.00217559188544914,0.000491442831476594,0.0310558362027425,0.0193816755647604,0.00405839234370363,0.00445090837144143,0.0138601238818878,0.00185248417968937,0.0154636954586215,0.0209190300067334,0.00168574464758124,0.00897282065846957,0.155974859827101,0.00801865568047281,0.108013709340286,0.0117922345650252,0.000252901586977403,0.00141608932771259,0.00499341019839611,0.00499660138561349,0.0104838478058992,0.00709640257464985,0.0238309883425931,0.00137939067471271,0.000589571838411044,0.000623877100997884,0.000971716507692357,0,0,0.00139091213499289,0.0142182129354829,0,0,0.0696772568694174,0.153435352636294,0.644501747226046,0.1153884680219,0.00138805017586739
"7","IE",2010,0.00898646952370763,0.176010736259101,0.442078187836397,0.00195322896787186,0.000162329876444828,0.000590290459799375,0.0231478187449898,0.0113182925215996,0.00106796895985726,0.00169743643529213,0.000326240888049833,0.0001893848558523,0.00109186166894438,0.000283901602093985,0.001720099372588,0.175341740404662,0.00166809759398663,0.043200477573091,0.00308374060739834,0.0039011874852098,0.00257461508582138,0.00439415029181606,0.00145077935030454,0.0585629624710542,0.00454347972361055,0.0259655772821095,0.000626129523430051,0.000202912345556035,0.000061664271246899,0.00379735960969151,0.000000878408422320499,0,0.0293903160439892,0.106589954510682,0,0,0.215822296843809,0.61681051868487,0.0210445422380066,0.00343958035354964,0.0069027913250941
"8","EL",2010,0.000538936409415099,0.132993524940267,0.468383095780371,0.000698466056784732,0.000515607643118489,0.00609020493552879,0.0511570509310273,0.000926026298085197,0.00303595256242051,0.00913942835302821,0.00326379219014369,0.00413910985250632,0.00300480097628792,0.000445761037440016,0.00134482654573332,0.149477882653232,0.00103554577578904,0.0520548592004184,0.00985591483407799,0.0015554839084596,0.00418548799867683,0.00275237534336591,0.000536282238399317,0.0162442250826425,0.0538267278932699,0.0123104642508309,0.00594226982470178,0.000941392551334461,0.0000695672192557593,0.00353465732696481,0.000000279386422713893,0,0.135219254356752,0.0489428783110771,0.00284929063122704,0,0.564919956934114,0.149515624199388,0.0956496044811912,0,0.00290339108625034
"9","ES",2010,0.000745406477619149,0.100189811740034,0.357097176766581,0.00360280487745451,0.000700265466418256,0.00316964443419408,0.028945424117125,0.0123680158624685,0.00318540927663793,0.0123507601242419,0.00185760092698378,0.00593386184760557,0.00488657658315428,0.00226168890247997,0.0058029391105324,0.304127609856207,0.0127922033218511,0.0383269272440511,0.0188311042991899,0.000780677206554403,0.00181999722224028,0.0161125524714214,0.00245431815945161,0.0139617420404905,0.00172351693866749,0.0363059351829469,0.00203537644448993,0.00285302234462108,0.000901743465952517,0.00387587348374346,0.0000000138045905813128,0.235947264130763,0.170000784080278,0.168329855721616,0.0272570664283469,0.00109618990272076,0.0971802798481472,0.248793239553272,0.0498690281439145,0.00123701985550086,0.0002892723354402
"10","FR",2010,0.000242638834012941,0.0974145324599273,0.254856477648303,0.00114022515084343,0.000287734163518102,0.000572257848732607,0.00806324507497269,0.0297494909360568,0.00557195354691562,0.00523261391733228,0.0021124055438143,0.00273451498620555,0.00472939126101068,0.000669533359554882,0.000999974811617754,0.433704980547771,0.0141990933728177,0.0409623539512298,0.0198686097881816,0.0020985727422346,0.00236418036855538,0.00314447522958438,0.00489207531282693,0.00853640417829086,0.00220032706846807,0.044404710041193,0.00231071203236337,0.00384801587783662,0.000453985413449459,0.00263449471461137,0.0000000198177673061576,0.724252068291438,0.113055191641682,0.0160037497220711,0.000175772517804984,0.0077246617884906,0.0471370813559759,0.0689273337248246,0.0156065746290959,0.00674667880440252,0.000370887524214576
"11","HR",2010,0.00130645556597151,0.114245973665954,0.297916871485482,0.00178451999008562,0.000369712385918805,0.00226154589626175,0.256325266587555,0.00348872792630123,0.00547264336047788,0.00721458411510656,0.00305670446410397,0.00454178511540704,0.00174055606404471,0.00199776234001631,0.00447289675885475,0.11007874735351,0.0051181625709827,0.116197002698762,0.0249749717176948,0.000650458401817822,0.00202060973465174,0.00308232123990734,0.00226569996801365,0.00919849954928322,0.00316713353817523,0.014555521246,0.000123929807264918,0.000893125426657786,0.0000498488610227602,0.00135699677228625,0.0000709653924282349,0,0.514730547090318,0.00775667238134802,0,0,0.131863430482916,0.277324289049203,0.0663998437504844,0,0.00192521724573027
