"","Country","Year","A","B","C10_12","C13_15","C16_18","C19","C20_21","C22_23","C24_25","C26","C27","C28","C29_30","C31_33","D","E","F","G","H","I","J58_60","J61","J62_63","K","L68","M","N","O84","P85","Q","R_S","T_U","VA_labour","VA_rest","Nuclear","Hydro","Wind","Solar","Other","Coal","Gas","Oil","Bio_Rest","Bio_Gas","Sector_Size","Gas_FC","Population","GDP_pC","Gas_FC_pC"
"1","AT",2010,0.00221503962162921,0.0385224690920431,0.000800788792635167,0.000159077965026742,0.00425950670226084,0.00787113730434708,0.00146834500015378,0.00305832351330809,0.00563303886667939,0.00159067515412224,0.0164188523167475,0.00393650911748024,0.000609630511035263,0.0116710002959679,0.53824633802838,0.015524295649829,0.0112221545203308,0.017499307625958,0.0279916959003341,0.00616830295438816,0.000913574965342983,0.00193272586937571,0.00496534333096719,0.0212686229111351,0.00369439154907628,0.0148670845606841,0.00810182996087699,0.00135350373659058,0.00289962870081371,0.00018872003821215,0.000514539018912862,1.39328193585936e-07,0.0802810096403615,0.144152397456801,0,0.499202317849582,0.0254394739775169,0.00129087770290823,0.0191273859175791,0.0670735940065685,0.237975792878582,0.0246217462448412,0.117114424550299,0.00815438687212295,81130.3725,220531.258,8351643,31802.5,0.026405733338937
"2","BE",2010,0.000750366856321921,0.0100770225799222,0.00153997682356765,0.000339093119154473,0.00260718172668649,0.00542007450553124,0.0218625670647333,0.00342935828314876,0.00808393248315495,0.00430850782484635,0.0186671095920623,0.00334619849610607,0.000991166739230566,0.0139663932087015,0.0701772905829219,0.0184681492451858,0.0461428510068158,0.0680326434433998,0.0280830823393909,0.00285354537768453,0.0031554725260019,0.0101201232367213,0.00376147814629787,0.0149218034650109,0.00383269437784202,0.104377550477657,0.0202772640771307,0.00348981789638676,0.00193344650284906,0.000125444424522033,0.00342142064067457,9.34713039016925e-06,0.137063278514886,0.364364347285063,0.491141948054343,0.0170871176654982,0.0131226605092944,4.09763013561107e-05,0.0225836901117128,0.0582785446037284,0.369111847773951,0.00149677323009127,0.0242306528685801,0.00290578888144486,97617.4,464305,10839905,30150.8,0.0428329399565771
"3","BG",2010,0.000407198789376219,0.301170510426577,0.00111159479943461,0.00106362419053044,0.00140300246386972,0.0305062746383526,0.00208672148733149,0.00990813628394851,0.019602058986756,0.00661001907520937,0.0423293755743033,0.0113930196147409,0.00422885729874193,0.0100832014371333,0.0124381723639117,0.00326007155340135,0.0190735552093462,0.0452415223665721,0.0689293539048213,0.0029490896749881,0.00132939239158573,0.00487011957639195,0.00619703072958609,0.0476935372837773,0.00377010388945146,0.00549235902637308,0.0026540979995429,0.00182150467258543,0.00023323640880994,7.6367003830205e-05,0.000572338988994605,4.41109047394686e-06,0.130878984214086,0.200611156585165,0.249244536335013,0.0914805123851405,0.0109429525617918,0.000241034197396295,0,0.460511903072115,0.157515155248341,0.0297668306591928,0.000297075541010183,0,62231.8333333333,49226,7421766,11111.1,0.00663265319871308
"4","CZ",2010,0.0027564555677095,0.123777418242965,0.00105945917540301,0.0011940701710814,0.00135271177118692,0.0146359584590071,0.00476254891036723,0.00306872138897422,0.00961778729495342,0.0043380522442505,0.023048518516538,0.0197469511335678,0.00268442977257212,0.00771045709576546,0.187418182888876,0.00815548540467571,0.013800564864444,0.0242485963387262,0.104172406119063,0.00286690392267268,0.000720852114670083,0.00343300950773505,0.00176631544353861,0.0197009364871785,0.00839975253758891,0.0106649670955667,0.0036978743015858,0.00202787933018783,0.00145913301936424,0.000178447043314702,0.000420931686339083,2.11258060897909e-06,0.0509835680179326,0.336128541551589,0.249570225286239,0.0237635523599875,0.00295500743897395,0.00543368532062076,0.00367195202988919,0.612414265580191,0.0839682760594412,0.00456482492438513,0.0130123238021684,0.000645887198104091,113366.888888889,283233,10462088,21015.8,0.027072320553985
"5","DE",2010,0.000130179873614031,0.0534200363035085,0.00065037436101811,0.00015674377209473,0.00210941270924676,0.0158435753155247,0.00341337709947677,0.00983183623075854,0.0143641419016769,0.00437136184240725,0.0248643850273385,0.00772699545792336,0.00235898064484939,0.0111863763003358,0.176707289208848,0.00238037468222034,0.0233626461055433,0.0353199879700467,0.0397160761862525,0.00152829552851129,0.00144783819778496,0.00197743176977362,0.00458798558549388,0.0247503053699872,0.0143602043487865,0.0294026991122969,0.0261765453609921,0.0595038982320497,0.000796895079127131,0.000153899983896138,0.00324527275811689,1.15574469096645e-05,0.116220847570656,0.287922172662934,0.194356563888219,0.0373002099581996,0.0533016197686273,0.0162420117208161,0.039482374027961,0.415743507915933,0.19386076416611,0.00764686952869758,0.0175537991479527,0.0245122798774835,723186.277777778,2511746,81802257,30028.5,0.030705094114946
"6","DK",2010,0.00857738957713388,0.234606143929877,0.000707556201184119,0.000428881831444005,0.00572480658936418,0.0088592756195749,0.00074918442042278,0.00185486451064608,0.00288889959446456,0.000893833217836642,0.000917550185474098,0.00489174810109852,0.000538202229147906,0.00618815213940636,0.0730329431151002,0.00922342989350835,0.0384653392576342,0.00974693254375595,0.006354665016361,0.00543699130501379,0.000806747477292856,0.000848252170658405,0.00283961277109297,0.0544616927738599,0.00125786396589698,0.0266719535740358,0.005946782583346,0.0024426006149118,0.000711509029123695,7.189205815104e-05,0.00346255374919554,1.70465704894219e-05,0.0938687932880982,0.386505910095399,0,0.000291984838444715,0.108576647781656,0.000552299363724792,0.0322789547879298,0.376644992660432,0.268662356362278,0.0245143672827553,0.181345880120618,0.00713251680216132,71921.5426111111,81248,5534738,32549.6,0.0146796469860001
"7","EE",2010,0.000942706833991857,0.155403481688394,0.000987785935952877,0.00052275941046025,0.0307202216942783,0.0224090588432544,0.00414015962747263,0.00466845506799827,0.0146799700105343,0.00422240921701554,0.0367948283988852,0.0297015921622468,0.00212425382223333,0.00996801756345081,0.150437662719741,0.00154059808105381,0.00825896599612162,0.0231042260471796,0.0131456988209838,0.000625571397388892,0.000911863237913265,0.0042010559581919,0.00423110869283258,0.0350058998263268,0.00684490574513383,0.0134833966549725,0.0114643274039815,0.00137688976340589,0.00107240810980953,0.000557557313728406,0.000519595964708599,1.58172287582526e-06,0.0856724378461996,0.320258548421282,0,0.00139091213499289,0.0142182129354829,0,0,0.0696772568694174,0.153435352636294,0.644501747226046,0.1153884680219,0.00138805017586739,19411.7222222222,9633,1333290,15638.3,0.00722498481200639
"8","ES",2010,0.000779006065948478,0.0636104000627125,0.00391081857509778,0.000717959101562121,0.00335672962258179,0.0659960906542603,0.0165453240675007,0.00349468062079601,0.0136427370595749,0.00251224432110098,0.00739375780680212,0.00751302994804401,0.00242256653688968,0.00583852616798431,0.309710163190855,0.00394324848447642,0.0131008299703017,0.0436132039559809,0.0145687376086534,0.000779611717906313,0.00226820787654501,0.0161895448367241,0.00184309526141349,0.01986334702405,0.00171846860627165,0.0135397762267429,0.0203799819089007,0.00227010742132185,0.00313405617435674,0.000909235001700299,0.00395398504191077,1.19753909844714e-06,0.0568979181195718,0.273581413422362,0.235947264130763,0.170000784080278,0.168329855721616,0.0272570664283469,0.00109618990272076,0.0971802798481472,0.248793239553272,0.0498690281439145,0.00123701985550086,0.0002892723354402,262728.2,667428,46486619,23985.6,0.014357421863698
"9","FI",2010,0.012157882122782,0.113057748633758,0.00483619029571024,0.000571183463338823,0.0289256409470382,0.0376542160515675,0.0431660958315567,0.00405901385331814,0.00344916316223143,0.00533038765695643,0.000605322096845962,0.00816203635323221,0.00112262690050005,0.0261883960230118,0.038157122247892,0.000613334225118045,0.0270258376041461,0.0192033297011685,0.00844664108359274,0.000698216337681713,0.00535024380093507,0.00053692871203064,0.00587196108102886,0.0169263757404832,0.00764031907313842,0.02933820749415,0.0158222115703493,0.00627396090824557,0.000133999942405571,9.57971858618681e-05,0.000813869667522223,2.15979109943121e-05,0.0878806225400444,0.439863519781364,0.185516931810322,0.098144966293689,0.0023921920154489,0,0.0158367451000069,0.32213903192166,0.179404004254594,0.031374240178429,0.16451111722871,0.000680771197140219,122899.833333333,36837,5351427,29482.9,0.00688358450932807
"10","FR",2010,0.000373220469448961,0.0633085520042879,0.00119353835618233,0.000633032485200857,0.000867325152614363,0.00972206934477811,0.0511441107640699,0.00779414520198041,0.00696187001322652,0.00378397726813165,0.00525420681026669,0.0104452023512596,0.0012233435459978,0.00119390040215186,0.429051549054288,0.00493703497091063,0.0142895630160922,0.0299644509019529,0.0196099655286247,0.00572576679305952,0.00241915202825931,0.00310792980774077,0.00471470939054385,0.00748483073866566,0.00238351496282664,0.0204990232244368,0.0217950499450732,0.0027851805034488,0.00476432925842114,0.000494867915209264,0.002768350258379,1.75347669564401e-05,0.101941958805881,0.157346743959632,0.724252068291438,0.113055191641682,0.0160037497220711,0.000175772517804984,0.0077246617884906,0.0471370813559759,0.0689273337248246,0.0156065746290959,0.00674667880440252,0.000370887524214576,591673.836722222,1488924,64658856,27179,0.0230273792657266
"11","UK",2010,0.00431658652868316,0.146876265239635,0.000973308906095117,0.000126215878689553,0.000373109716608317,0.000946619090171647,0.00393530468602661,0.0004626988218498,0.00672212138098811,0.00622012680409789,0.002618244860839,0.0105745572313852,0.00271843164868983,0.0183467707283173,0.504632913009883,0.00479009168316907,0.0157116339090616,0.0136558486641186,0.00244296145085561,0.000881555056825965,0.00107245244381213,0.00154301911042113,0.00671152369837876,0.0191328336228947,0.000968353467959489,0.0162812658696276,0.00575455035062898,0.000680451206030626,0.000323364072727505,0.000101038775460117,0.000492379288156876,0,0.0690956387128112,0.1305177640851,0.182648670256543,0.0172037764243892,0.0234262938838855,0,0,0.305220800902956,0.453700002351447,0.00668104968608178,0.0111194064946975,0,340216,2161664,62510197,27579.8,0.0345809820436176
"12","EL",2010,0.000568256567907532,0.109955162368608,0.000622625552080117,0.000606381979031024,0.00620826677048234,0.0542285645245734,0.000890577385187472,0.00267495402129116,0.009984159160167,0.0045949175068129,0.0048091715777745,0.00451974063980884,0.000522076492462177,0.001458833953095,0.154212857929146,0.000420184988790592,0.0010273724342538,0.0441894994026124,0.0056445745123572,0.00150138942959552,0.00414895759219234,0.00280852720462875,0.000642762212884778,0.0196118994240915,0.0519135197540642,0.0071830153978333,0.00613671450242311,0.0056679330388906,0.00101367950490663,9.93408599696608e-05,0.00340672027493254,1.97339275885677e-05,0.123815762978078,0.364891866131479,0,0.135219254356752,0.0489428783110771,0.00284929063122704,0,0.564919956934114,0.149515624199388,0.0956496044811912,0,0.00290339108625034,55452.3986666667,36359,11119289,21125.2,0.00326990331845858
"13","HR",2010,0.00113439289547299,0.06134789619783,0.00124297007505547,0.000251755877933001,0.00256200383360965,0.272438040909734,0.00356276327728882,0.00504675082790099,0.00708466096775675,0.00288713879444729,0.00407850488030559,0.00140911702293305,0.00204238447417921,0.00493906851518321,0.108143765731014,0.00894837035795271,0.00387328207933651,0.0813991780349559,0.0257017695097382,0.00067025528165338,0.00184193429648848,0.00289519259622951,0.00222225271398206,0.0133690126695251,0.00247132399132098,0.0115154451037956,0.00254440478527073,0.00133036873884026,0.00128532710665083,7.24842160399516e-05,0.00125609478907093,5.27971450167549e-05,0.0860411507510618,0.274338141552427,0,0.514730547090318,0.00775667238134802,0,0,0.131863430482916,0.277324289049203,0.0663998437504844,0,0.00192521724573027,17920.0555555556,59704,4302847,15108.4,0.0138754643146735
"14","HU",2010,0.00792588762873643,0.0541558744967988,0.00380227367227845,0.000729046041062397,0.00661573015512892,0.0262104028223967,0.0146198864935028,0.00766814067113732,0.0160027461521399,0.00362448224995551,0.0116873401205574,0.0143631516312869,0.00363730212480992,0.023238216046941,0.090881610985958,0.00598232712778295,0.014809317012733,0.0431862786855243,0.061403320853635,0.00173709304277199,0.00140428234424906,0.00245213843103287,0.0240006612356504,0.018752440625846,0.016394089700327,0.0627215750903084,0.0346146742022791,0.00597844742881385,0.00262638751951446,0.00096823791663539,0.00264021948975211,1.61935261318811e-05,0.116413235171327,0.298736989302995,0.310481438892625,0.00367099867653121,0.010427198368445,2.71202620902128e-05,0.012821375105769,0.161983901412423,0.437174285652297,0.0105009654813304,0.0520709032132087,0.000841812935280207,51212.2222222222,283574,10014324,16462.3,0.0283168389598739
"15","IE",2010,0.000273051905298401,0.0711438642658633,0.00157480696458856,0.000384314500423161,0.000602340736592987,0.0147839091792679,0.0134776551658981,0.00114359951971935,0.0014124985443288,0.000662903579973494,0.000499903012932243,0.00150368888279031,0.00139813649861285,0.00164800148673129,0.168940743756706,0.000841131376207558,0.0013046966831115,0.162089355803417,0.00374157246404773,0.00446088600671279,0.0171017357137876,0.00525010637430848,0.00131715532517834,0.0220273982842719,0.00316726367210515,0.0115457004620599,0.0147204047120661,0.000585902250532564,0.000680726359596901,0.000166980411034827,0.00401202881891554,2.28408437892198e-05,0.133783147990845,0.333731548448285,0,0.0293903160439892,0.106589954510682,0,0,0.215822296843809,0.61681051868487,0.0210445422380066,0.00343958035354964,0.0069027913250941,26406.419,73796.404,4549428,32705.4,0.0162210291051974
"16","IT",2010,0.00146678712427307,0.0349170715954915,0.000808939359527132,0.000475402818984367,0.00144739487309852,0.0384278070833913,0.00190620484724588,0.00496164234349451,0.00560128124247222,0.0104204465279606,0.00439809639860065,0.00320504031584124,0.0034749667096507,0.00175221204953305,0.352692203708066,0.0194258567751697,0.00680358809071975,0.0451399436588936,0.0600067763447772,0.0101513090577553,0.00112364353016286,0.023174210962829,0.00817679869587365,0.0158514729668138,0.0111666664609527,0.0165597227702095,0.00961873472661398,0.00218040669800721,0.00101110739539404,0.00041670435791601,0.0051850095200811,1.64019762230896e-05,0.0601569644947859,0.237879184519191,0,0.175508914379045,0.0299367485817261,0.00625514610795549,0.0364425891603135,0.147359303776932,0.509056727923335,0.0669833746738239,0.0214986461851338,0.00695854921173572,304709.109444444,1790991,59190143,26367.8,0.0302582644546069
"17","LT",2010,0.000200605267902006,0.0485200087453157,0.000835407788700899,0.000987300113919244,0.00491655511274937,0.0531715194218886,0.00207471107855058,0.00275669227612184,0.00709329487440116,0.00587738913969875,0.00874378142847828,0.00355144201817338,0.00278545976195864,0.0291736827368235,0.404245697343035,0.00213032821783507,0.0289661732723207,0.0193574494363491,0.013103398015427,0.000469101802378879,0.000563459155923609,0.00383106198050715,0.00264699226346414,0.0114532950278277,0.0047435666312507,0.0110747149142154,0.00211306772633299,0.0011967274108112,0.000196002470168117,0.000209043730414137,0.00275784297555531,9.2055954677785e-06,0.0981995389530936,0.22204548331294,0,0.0813524540102118,0.0140717758287934,0,0.0018846128342134,0.00266986818180232,0.712086999312465,0.0550551249254007,0.132701173694993,0.000177991212120155,15918.3888888889,28788,3141976,15209.7,0.00916238698195021
"18","LU",2010,0.00170224230623217,0.0862641467182413,0.000616691071887809,0.000329776644115892,0.00449266006413587,0.00122201053535783,0.00314293761885518,0.00250700228656803,0.042006721495314,0.00125437588239308,0.00309657644607496,0.0216751603834156,0.00102257001849198,0.000851995892225144,0.338014062305917,0.0284745074781446,0.0424195983547907,0.0577249085460262,0.00463611727802183,0.00185269743299061,0.00131473288091827,0.00324440735550622,0.00516271022167639,0.0134814791488439,0.00351557647931504,0.0163961098602342,0.0140701785692417,0.00123688110021186,0.000631561636741842,0.000606194202579081,0.000663052244668028,0,0.0981133626895778,0.198256994851286,0,0.289152132057471,0.0109068433855317,0,0.0147629681210852,0,0.679986241813353,0.000731283172999176,0.00446053144956002,0,5050.40716666667,31411.987,502066,68308.9,0.0625654535459481
